"","id","LD_FAKE","age_w1","age_w2","age_w3","agegrp_w1","agegrp_w2","agegrp_w3","piat_w1","piat_w2","piat_w3"
"58",58,1,6.5,8.91666666666667,11.0833333333333,6.5,8.5,10.5,18,22,21
"59",59,1,6.58333333333333,8.83333333333333,10.75,6.5,8.5,10.5,16,21,32
"60",60,0,6.66666666666667,9.91666666666667,12.0833333333333,6.5,8.5,10.5,29,37,48
"61",61,0,6.66666666666667,9.08333333333333,11.0833333333333,6.5,8.5,10.5,21,32,47
"62",62,1,6.58333333333333,9,11,6.5,8.5,10.5,19,20,26
"63",63,0,6.58333333333333,8.91666666666667,11,6.5,8.5,10.5,18,34,41
"64",64,1,6.66666666666667,9.08333333333333,11.0833333333333,6.5,8.5,10.5,28,30,31
"65",65,0,6.66666666666667,8.91666666666667,11,6.5,8.5,10.5,21,28,43
"66",66,0,6.66666666666667,9.25,11,6.5,8.5,10.5,18,25,32
"67",67,0,6.58333333333333,9,11,6.5,8.5,10.5,20,24,39
"68",68,0,6.58333333333333,9,11.25,6.5,8.5,10.5,22,30,42
"69",69,0,6.66666666666667,9.16666666666667,11.3333333333333,6.5,8.5,10.5,26,47,45
"70",70,0,6.66666666666667,9,11.0833333333333,6.5,8.5,10.5,22,45,40
"71",71,0,6.66666666666667,9.16666666666667,11.25,6.5,8.5,10.5,22,41,53
"72",72,0,6.75,9.25,11.1666666666667,6.5,8.5,10.5,18,24,40
"73",73,1,6.66666666666667,9,11.1666666666667,6.5,8.5,10.5,26,28,28
"74",74,1,6.83333333333333,9.25,11.3333333333333,6.5,8.5,10.5,26,28,30
"75",75,1,6.75,9.25,11.1666666666667,6.5,8.5,10.5,18,24,26
"76",76,0,6.75,9.16666666666667,11.25,6.5,8.5,10.5,31,41,62
"77",77,1,6.83333333333333,8.08333333333333,10,6.5,8.5,10.5,17,19,28
"78",78,1,6.83333333333333,9.41666666666667,11.3333333333333,6.5,8.5,10.5,42,29,30
"79",79,0,6.83333333333333,9.25,11.25,6.5,8.5,10.5,28,42,50
"80",80,0,6.83333333333333,9.25,11.4166666666667,6.5,8.5,10.5,23,39,55
"81",81,0,6.91666666666667,9.33333333333333,11.25,6.5,8.5,10.5,28,47,53
"82",82,0,6.83333333333333,9.41666666666667,11.4166666666667,6.5,8.5,10.5,26,44,32
"83",83,0,6.83333333333333,9.16666666666667,11.3333333333333,6.5,8.5,10.5,19,35,51
"84",84,0,6.91666666666667,9.33333333333333,11.3333333333333,6.5,8.5,10.5,18,32,40
"85",85,0,6.91666666666667,9.41666666666667,11.5,6.5,8.5,10.5,29,47,45
"86",86,0,6.91666666666667,9.33333333333333,11.25,6.5,8.5,10.5,16,20,59
"87",87,0,6.91666666666667,9.41666666666667,11.5,6.5,8.5,10.5,22,49,64
"88",88,1,6.91666666666667,9.25,11.3333333333333,6.5,8.5,10.5,22,23,23
"89",89,0,6.91666666666667,9.33333333333333,11.5,6.5,8.5,10.5,23,40,45
